"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.997107500E-1,3.352647275E-4,1.428887305E0,-1.835748557E0,2.326304324E0
6.096767500E-1,1.045179931E-1,1.705688939E0,-3.786393732E-1,1.750333266E0
6.196417500E-1,2.598777455E-1,1.120104032E0,6.634344435E-1,1.327522033E0
6.296077500E-1,1.972270956E-1,3.256359713E-1,1.149538624E0,1.210940279E0
6.395727500E-1,1.669661466E-1,-2.741839819E-1,1.345789892E0,1.383547969E0
6.495387500E-1,1.541635035E-1,-6.475778179E-1,9.382670277E-1,1.150420980E0
6.595037500E-1,1.254091627E-1,-8.297869979E-1,2.862896186E-1,8.866993096E-1
6.694697500E-1,1.653499397E-1,-8.519431213E-1,-1.663626409E-1,8.836425820E-1
6.794357500E-1,2.369822417E-1,-8.210356164E-1,-4.791769838E-1,9.797298853E-1
6.894007500E-1,5.678583415E-1,-7.171115908E-1,-9.616991597E-1,1.327244289E0
6.993667500E-1,1.192044519E0,-4.989113367E-1,-1.532275726E0,2.004432976E0
7.093317500E-1,1.723446933E0,-1.970242703E-1,-2.279285592E0,2.864302830E0
7.192977500E-1,2.166696870E0,2.669517070E-2,-2.569844847E0,3.361456603E0
7.292627500E-1,2.245314438E0,2.244345555E-1,-1.942811660E0,2.977637477E0
7.392287500E-1,2.062555912E0,1.985650116E-1,-5.143310291E-1,2.134971045E0
7.491937500E-1,1.919875811E0,-3.690674812E-1,6.435322756E-1,2.058219552E0
7.591597500E-1,2.080164510E0,-1.308862094E0,-8.872857392E-2,2.459283865E0
7.691247500E-1,2.511211600E0,-2.116226920E0,-2.088570467E0,3.891879581E0
7.790907500E-1,2.978836825E0,-2.643182088E0,-3.281931049E0,5.160518558E0
7.890567500E-1,3.489102577E0,-2.824608326E0,-3.628227718E0,5.772026105E0
7.990217500E-1,2.777749032E0,-2.789215714E0,-3.464914400E0,5.244163020E0
8.089877500E-1,2.324639520E-1,-2.890525450E0,-3.512953954E0,4.555219243E0
8.189527500E-1,-3.818705446E0,-3.059963433E0,-4.218141026E0,6.460541866E0
8.289187500E-1,-3.687231971E0,-3.747854733E0,-4.436308828E0,6.879166427E0
8.388837500E-1,-7.446353120E-1,-4.985893890E0,-4.388220157E0,6.683569089E0
8.488497500E-1,-1.757363123E-1,-5.679224562E0,-3.942308568E0,6.915654107E0
8.588147500E-1,-1.158386046E-1,-5.652119794E0,-3.726337565E0,6.770928178E0
8.687807500E-1,-1.820939898E-1,-5.523527243E0,-3.755404658E0,6.681734473E0
8.787467500E-1,1.665678781E-1,-5.802773305E0,-3.711438274E0,6.890188456E0
8.887117500E-1,-1.963892627E-1,-5.846326876E0,-3.232941906E0,6.683563425E0
8.986777500E-1,-1.053134410E0,-5.633475947E0,-2.417122591E0,6.219937697E0
9.086427500E-1,-1.869719710E0,-6.095950359E0,-1.143373904E0,6.477944617E0
9.186086250E-1,-2.437500722E0,-7.024623860E0,1.189586788E-1,7.436457578E0
9.285736250E-1,-1.539930900E0,-7.033386497E0,6.770613796E-1,7.231758079E0
9.385396250E-1,-5.995044959E-1,-6.374218767E0,6.081735778E-1,6.431169850E0
9.485046250E-1,-1.047745616E0,-5.836765509E0,2.847728509E-1,5.936892963E0
9.584706250E-1,-1.782083396E0,-5.732954627E0,5.280608761E-1,6.026726995E0
9.684356250E-1,-2.727529051E0,-6.379750233E0,1.378004981E0,7.073862134E0
9.784016250E-1,-2.795430427E0,-7.046674880E0,2.679330452E0,8.040452090E0
9.883676250E-1,-9.107196254E-1,-6.101462529E0,4.418987036E0,7.588458451E0
9.983326250E-1,8.618982983E-1,-4.625770894E0,5.812949215E0,7.478703338E0
1.008298625E0,1.876069787E0,-4.289458930E0,6.642380263E0,8.126519016E0
1.018263625E0,3.172134372E0,-4.409748143E0,7.721237744E0,9.440647619E0
1.028229625E0,3.852179586E0,-4.290484824E0,8.727738270E0,1.046044755E1
1.038194625E0,5.181825315E0,-4.335964468E0,8.263429002E0,1.067408827E1
1.048160625E0,6.968437965E0,-3.066271117E0,6.636427798E0,1.009966931E1
1.058125625E0,7.140518598E0,-1.422139326E0,5.840007790E0,9.333551151E0
1.068091625E0,7.404014601E0,-6.466219443E-1,6.085065767E0,9.605497256E0
1.078057625E0,7.608506935E0,-7.088152689E-1,7.323691399E0,1.058433997E1
1.088022625E0,8.363786518E0,-1.026068818E0,8.902911496E0,1.225836756E1
1.097988625E0,1.089622088E1,-7.601438820E-1,8.231335389E0,1.367700005E1
1.107953625E0,1.294024843E1,5.151964170E-1,7.057225011E0,1.474855524E1
